title,progress,earned_trophies,in_ps_plus,price,discount,priority
ASTRO’s PLAYROOM,100,"1/1P, 5/5G, 14/14S, 31/31B",False,N/A,N/A,Outros
Assassin's Creed® III Remastered,100,"1/1P, 1/1G, 7/7S, 46/46B",False,N/A,N/A,Outros
Assassin's Creed® Revelations,100,"1/1P, 1/1G, 14/14S, 34/34B",False,N/A,N/A,Outros
Assassin's Creed® Brotherhood,100,"1/1P, 1/1G, 13/13S, 36/36B",False,N/A,N/A,Outros
Assassin's Creed® II,100,"1/1P, 1/1G, 15/15S, 34/34B",False,N/A,N/A,Outros
Spirit of the North: Enhanced Edition,100,"1/1P, 7/7G, 9/9S, 8/8B",False,N/A,N/A,Outros
Bloodborne,100,"1/1P, 7/7G, 8/8S, 24/24B",False,N/A,N/A,Outros
DARK SOULS III,100,"1/1P, 3/3G, 13/13S, 26/26B",False,N/A,N/A,Outros
Darksiders Warmastered Edition,100,"1/1P, 3/3G, 13/13S, 26/26B",False,N/A,N/A,Outros
Shadow of the Colossus,100,"1/1P, 5/5G, 7/7S, 25/25B",False,N/A,N/A,Outros
Ratchet & Clank: Rift Apart,100,"1/1P, 3/3G, 7/7S, 36/36B",False,N/A,N/A,Outros
Demon's Souls,100,"1/1P, 5/5G, 9/9S, 22/22B",False,N/A,N/A,Outros
DARK SOULS™ Ⅱ: Scholar of the First Sin,100,"1/1P, 2/2G, 23/23S, 12/12B",False,N/A,N/A,Outros
DARK SOULS™: REMASTERED,100,"1/1P, 2/2G, 20/20S, 18/18B",False,N/A,N/A,Outros
DRAGON BALL Z: KAKAROT,100,"1/1P, 4/4G, 9/9S, 28/28B",False,N/A,N/A,Outros
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,100,"1/1P, 2/2G, 12/12S, 32/32B",False,N/A,N/A,Outros
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,100,"1/1P, 2/2G, 18/18S, 32/32B",False,N/A,N/A,Outros
NARUTO: Ultimate Ninja STORM,100,"1/1P, 1/1G, 11/11S, 37/37B",False,N/A,N/A,Outros
DRAGON BALL: Sparking! ZERO,97,"0/1P, 2/2G, 10/11S, 36/36B",False,N/A,N/A,Outros
Hogwarts Legacy,84,"0/1P, 1/2G, 13/15S, 27/28B",False,N/A,N/A,Outros
Ratchet & Clank: A Crack in Time,65,"0/1P, 3/5G, 2/6S, 22/25B",False,N/A,N/A,Outros
Nioh,62,"1/1P, 2/2G, 10/10S, 34/73B",False,N/A,N/A,Outros
Dragon's Crown,52,"0/1P, 0/3G, 0/7S, 37/38B",False,N/A,N/A,Outros
NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,50,"0/1P, 0/3G, 3/4S, 28/42B",False,N/A,N/A,Outros
Undertale,46,"0/1P, 2/5G, 6/10S, 6/14B",False,N/A,N/A,Outros
Ratchet & Clank: All 4 One,37,"0/1P, 1/4G, 3/6S, 14/34B",False,N/A,N/A,Outros
Ratchet & Clank: Into the Nexus™,37,"0/1P, 2/7G, 3/7S, 6/8B",False,N/A,N/A,Outros
DRAGON BALL FighterZ,34,"0/1P, 1/5G, 4/10S, 10/20B",False,N/A,N/A,Outros
STREET FIGHTER V,31,"0/1P, 1/4G, 1/5S, 14/35B",False,N/A,N/A,Outros
DRAGON BALL XENOVERSE,31,"0/1P, 1/2G, 3/11S, 10/36B",False,N/A,N/A,Outros
